"","X","ID","achievement","social","immersion","dfs","fss","scenario"
"P01",1,"P01",2.28571428571429,3.57142857142857,"lower",3.22222222222222,2.88888888888889,"gamified"
"P02",2,"P02",3.28571428571429,2.85714285714286,"lower",3.66666666666667,3.88888888888889,"gamified"
"P04",4,"P04",3.57142857142857,2.71428571428571,"upper",3.55555555555556,4.55555555555556,"gamified"
"P05",5,"P05",3.42857142857143,4,"upper",3.77777777777778,2.88888888888889,"gamified"
"P06",6,"P06",2.57142857142857,3.28571428571429,"lower",3.77777777777778,3.44444444444444,"gamified"
"P07",7,"P07",3,3.85714285714286,"lower",3.44444444444444,2.77777777777778,"gamified"
"P08",8,"P08",3,2.71428571428571,"upper",3.66666666666667,4.55555555555556,"gamified"
"P09",9,"P09",3.71428571428571,3.71428571428571,"upper",4,2.88888888888889,"gamified"
"P10",10,"P10",2.14285714285714,2,"lower",3.11111111111111,3.33333333333333,"gamified"
"P12",12,"P12",3.42857142857143,3.28571428571429,"lower",2.77777777777778,3.11111111111111,"gamified"
"P13",13,"P13",4,4,"upper",3.77777777777778,3.44444444444444,"gamified"
"P14",14,"P14",3,2.57142857142857,"lower",2.77777777777778,4,"gamified"
"P16",16,"P16",2.85714285714286,1.71428571428571,"lower",3,4.44444444444444,"gamified"
"P19",17,"P19",3.57142857142857,2.14285714285714,"upper",3.77777777777778,2.55555555555556,"non.gamified"
"P20",18,"P20",3.57142857142857,1.28571428571429,"lower",3.88888888888889,3.33333333333333,"non.gamified"
"P21",19,"P21",2.71428571428571,2.14285714285714,"lower",3.88888888888889,3.22222222222222,"non.gamified"
"P22",20,"P22",1.71428571428571,2.14285714285714,"upper",3.11111111111111,3.66666666666667,"non.gamified"
"P23",21,"P23",3.14285714285714,2.28571428571429,"lower",3.88888888888889,3.22222222222222,"non.gamified"
"P26",22,"P26",2.71428571428571,2,"lower",3.55555555555556,3.55555555555556,"non.gamified"
"P27",23,"P27",4,3.85714285714286,"upper",3.22222222222222,3.44444444444444,"non.gamified"
"P28",24,"P28",2.42857142857143,2.42857142857143,"lower",4,4,"non.gamified"
"P29",25,"P29",3.85714285714286,4.85714285714286,"upper",4,3.88888888888889,"non.gamified"
"P30",26,"P30",3.28571428571429,1.85714285714286,"lower",3.88888888888889,3.55555555555556,"non.gamified"
"P31",27,"P31",4.28571428571429,3,"upper",2.55555555555556,2.66666666666667,"non.gamified"
"P32",28,"P32",2.57142857142857,2.42857142857143,"lower",4.11111111111111,4.55555555555556,"non.gamified"
